year;month;decimal date;monthly average;de-season alized;ndays;st. dev of days;unc. of mon mean
1958;3;19.582.027;315.70;314.43;-1;-9.99;-0.99
1958;4;19.582.877;317.45;315.16;-1;-9.99;-0.99
1958;5;19.583.699;317.51;314.71;-1;-9.99;-0.99
1958;6;19.584.548;317.24;315.14;-1;-9.99;-0.99
1958;7;19.585.370;315.86;315.18;-1;-9.99;-0.99
1958;8;19.586.219;314.93;316.18;-1;-9.99;-0.99
1958;9;19.587.068;313.20;316.08;-1;-9.99;-0.99
1958;10;19.587.890;312.43;315.41;-1;-9.99;-0.99
1958;11;19.588.740;313.33;315.20;-1;-9.99;-0.99
1958;12;19.589.562;314.67;315.43;-1;-9.99;-0.99
1959;1;19.590.411;315.58;315.55;-1;-9.99;-0.99
1959;2;19.591.260;316.48;315.86;-1;-9.99;-0.99
1959;3;19.592.027;316.65;315.38;-1;-9.99;-0.99
1959;4;19.592.877;317.72;315.41;-1;-9.99;-0.99
1959;5;19.593.699;318.29;315.49;-1;-9.99;-0.99
1959;6;19.594.548;318.15;316.03;-1;-9.99;-0.99
1959;7;19.595.370;316.54;315.86;-1;-9.99;-0.99
1959;8;19.596.219;314.80;316.06;-1;-9.99;-0.99
1959;9;19.597.068;313.84;316.73;-1;-9.99;-0.99
1959;10;19.597.890;313.33;316.33;-1;-9.99;-0.99
1959;11;19.598.740;314.81;316.68;-1;-9.99;-0.99
1959;12;19.599.562;315.58;316.35;-1;-9.99;-0.99
1960;1;19.600.410;316.43;316.40;-1;-9.99;-0.99
1960;2;19.601.257;316.98;316.36;-1;-9.99;-0.99
1960;3;19.602.049;317.58;316.28;-1;-9.99;-0.99
1960;4;19.602.896;319.03;316.70;-1;-9.99;-0.99
1960;5;19.603.716;320.04;317.22;-1;-9.99;-0.99
1960;6;19.604.563;319.59;317.47;-1;-9.99;-0.99
1960;7;19.605.383;318.18;317.52;-1;-9.99;-0.99
1960;8;19.606.230;315.90;317.19;-1;-9.99;-0.99
1960;9;19.607.077;314.17;317.08;-1;-9.99;-0.99
1960;10;19.607.896;313.83;316.83;-1;-9.99;-0.99
1960;11;19.608.743;315.00;316.88;-1;-9.99;-0.99
1960;12;19.609.563;316.19;316.96;-1;-9.99;-0.99
1961;1;19.610.411;316.89;316.86;-1;-9.99;-0.99
1961;2;19.611.260;317.70;317.08;-1;-9.99;-0.99
1961;3;19.612.027;318.54;317.26;-1;-9.99;-0.99
1961;4;19.612.877;319.48;317.16;-1;-9.99;-0.99
1961;5;19.613.699;320.58;317.76;-1;-9.99;-0.99
1961;6;19.614.548;319.77;317.63;-1;-9.99;-0.99
1961;7;19.615.370;318.57;317.88;-1;-9.99;-0.99
1961;8;19.616.219;316.79;318.06;-1;-9.99;-0.99
1961;9;19.617.068;314.99;317.90;-1;-9.99;-0.99
1961;10;19.617.890;315.31;318.32;-1;-9.99;-0.99
1961;11;19.618.740;316.10;317.99;-1;-9.99;-0.99
1961;12;19.619.562;317.01;317.79;-1;-9.99;-0.99
1962;1;19.620.411;317.94;317.91;-1;-9.99;-0.99
1962;2;19.621.260;318.55;317.92;-1;-9.99;-0.99
1962;3;19.622.027;319.68;318.39;-1;-9.99;-0.99
1962;4;19.622.877;320.57;318.24;-1;-9.99;-0.99
1962;5;19.623.699;321.02;318.18;-1;-9.99;-0.99
1962;6;19.624.548;320.62;318.47;-1;-9.99;-0.99
1962;7;19.625.370;319.61;318.92;-1;-9.99;-0.99
1962;8;19.626.219;317.40;318.68;-1;-9.99;-0.99
1962;9;19.627.068;316.25;319.17;-1;-9.99;-0.99
1962;10;19.627.890;315.42;318.45;-1;-9.99;-0.99
1962;11;19.628.740;316.69;318.58;-1;-9.99;-0.99
1962;12;19.629.562;317.70;318.47;-1;-9.99;-0.99
1963;1;19.630.411;318.74;318.70;-1;-9.99;-0.99
1963;2;19.631.260;319.07;318.44;-1;-9.99;-0.99
1963;3;19.632.027;319.86;318.57;-1;-9.99;-0.99
1963;4;19.632.877;321.38;319.05;-1;-9.99;-0.99
1963;5;19.633.699;322.25;319.40;-1;-9.99;-0.99
1963;6;19.634.548;321.48;319.32;-1;-9.99;-0.99
1963;7;19.635.370;319.74;319.05;-1;-9.99;-0.99
1963;8;19.636.219;317.77;319.05;-1;-9.99;-0.99
1963;9;19.637.068;316.21;319.14;-1;-9.99;-0.99
1963;10;19.637.890;315.99;319.02;-1;-9.99;-0.99
1963;11;19.638.740;317.07;318.97;-1;-9.99;-0.99
1963;12;19.639.562;318.35;319.13;-1;-9.99;-0.99
1964;1;19.640.410;319.57;319.54;-1;-9.99;-0.99
1964;2;19.641.257;320.01;319.37;-1;-9.99;-0.99
1964;3;19.642.049;320.74;319.41;-1;-9.99;-0.99
1964;4;19.642.896;321.84;319.45;-1;-9.99;-0.99
1964;5;19.643.716;322.26;319.40;-1;-9.99;-0.99
1964;6;19.644.563;321.89;319.75;-1;-9.99;-0.99
1964;7;19.645.383;320.44;319.77;-1;-9.99;-0.99
1964;8;19.646.230;318.69;320.00;-1;-9.99;-0.99
1964;9;19.647.077;316.70;319.66;-1;-9.99;-0.99
1964;10;19.647.896;316.87;319.91;-1;-9.99;-0.99
1964;11;19.648.743;317.68;319.58;-1;-9.99;-0.99
1964;12;19.649.563;318.71;319.49;-1;-9.99;-0.99
1965;1;19.650.411;319.44;319.40;-1;-9.99;-0.99
1965;2;19.651.260;320.44;319.81;-1;-9.99;-0.99
1965;3;19.652.027;320.89;319.59;-1;-9.99;-0.99
1965;4;19.652.877;322.14;319.78;-1;-9.99;-0.99
1965;5;19.653.699;322.17;319.30;-1;-9.99;-0.99
1965;6;19.654.548;321.87;319.70;-1;-9.99;-0.99
1965;7;19.655.370;321.21;320.51;-1;-9.99;-0.99
1965;8;19.656.219;318.87;320.15;-1;-9.99;-0.99
1965;9;19.657.068;317.81;320.77;-1;-9.99;-0.99
1965;10;19.657.890;317.30;320.36;-1;-9.99;-0.99
1965;11;19.658.740;318.87;320.78;-1;-9.99;-0.99
1965;12;19.659.562;319.42;320.20;-1;-9.99;-0.99
1966;1;19.660.411;320.62;320.59;-1;-9.99;-0.99
1966;2;19.661.260;321.60;320.96;-1;-9.99;-0.99
1966;3;19.662.027;322.39;321.08;-1;-9.99;-0.99
1966;4;19.662.877;323.70;321.34;-1;-9.99;-0.99
1966;5;19.663.699;324.08;321.20;-1;-9.99;-0.99
1966;6;19.664.548;323.75;321.57;-1;-9.99;-0.99
1966;7;19.665.370;322.38;321.68;-1;-9.99;-0.99
1966;8;19.666.219;320.36;321.65;-1;-9.99;-0.99
1966;9;19.667.068;318.64;321.60;-1;-9.99;-0.99
1966;10;19.667.890;318.10;321.17;-1;-9.99;-0.99
1966;11;19.668.740;319.78;321.70;-1;-9.99;-0.99
1966;12;19.669.562;321.03;321.81;-1;-9.99;-0.99
1967;1;19.670.411;322.33;322.29;-1;-9.99;-0.99
1967;2;19.671.260;322.50;321.86;-1;-9.99;-0.99
1967;3;19.672.027;323.04;321.73;-1;-9.99;-0.99
1967;4;19.672.877;324.42;322.04;-1;-9.99;-0.99
1967;5;19.673.699;325.00;322.12;-1;-9.99;-0.99
1967;6;19.674.548;324.09;321.91;-1;-9.99;-0.99
1967;7;19.675.370;322.54;321.84;-1;-9.99;-0.99
1967;8;19.676.219;320.92;322.21;-1;-9.99;-0.99
1967;9;19.677.068;319.25;322.23;-1;-9.99;-0.99
1967;10;19.677.890;319.39;322.47;-1;-9.99;-0.99
1967;11;19.678.740;320.73;322.65;-1;-9.99;-0.99
1967;12;19.679.562;321.96;322.75;-1;-9.99;-0.99
1968;1;19.680.410;322.57;322.54;-1;-9.99;-0.99
1968;2;19.681.257;323.15;322.51;-1;-9.99;-0.99
1968;3;19.682.049;323.89;322.55;-1;-9.99;-0.99
1968;4;19.682.896;325.02;322.62;-1;-9.99;-0.99
1968;5;19.683.716;325.57;322.68;-1;-9.99;-0.99
1968;6;19.684.563;325.36;323.19;-1;-9.99;-0.99
1968;7;19.685.383;324.14;323.46;-1;-9.99;-0.99
1968;8;19.686.230;322.11;323.43;-1;-9.99;-0.99
1968;9;19.687.077;320.33;323.32;-1;-9.99;-0.99
1968;10;19.687.896;320.25;323.33;-1;-9.99;-0.99
1968;11;19.688.743;321.32;323.25;-1;-9.99;-0.99
1968;12;19.689.563;322.89;323.69;-1;-9.99;-0.99
1969;1;19.690.411;324.00;323.97;-1;-9.99;-0.99
1969;2;19.691.260;324.42;323.77;-1;-9.99;-0.99
1969;3;19.692.027;325.63;324.31;-1;-9.99;-0.99
1969;4;19.692.877;326.66;324.27;-1;-9.99;-0.99
1969;5;19.693.699;327.38;324.48;-1;-9.99;-0.99
1969;6;19.694.548;326.71;324.51;-1;-9.99;-0.99
1969;7;19.695.370;325.88;325.17;-1;-9.99;-0.99
1969;8;19.696.219;323.66;324.97;-1;-9.99;-0.99
1969;9;19.697.068;322.38;325.37;-1;-9.99;-0.99
1969;10;19.697.890;321.78;324.88;-1;-9.99;-0.99
1969;11;19.698.740;322.86;324.79;-1;-9.99;-0.99
1969;12;19.699.562;324.12;324.91;-1;-9.99;-0.99
1970;1;19.700.411;325.06;325.03;-1;-9.99;-0.99
1970;2;19.701.260;325.98;325.34;-1;-9.99;-0.99
1970;3;19.702.027;326.93;325.61;-1;-9.99;-0.99
1970;4;19.702.877;328.13;325.74;-1;-9.99;-0.99
1970;5;19.703.699;328.08;325.16;-1;-9.99;-0.99
1970;6;19.704.548;327.67;325.46;-1;-9.99;-0.99
1970;7;19.705.370;326.34;325.63;-1;-9.99;-0.99
1970;8;19.706.219;324.69;325.99;-1;-9.99;-0.99
1970;9;19.707.068;323.10;326.10;-1;-9.99;-0.99
1970;10;19.707.890;323.06;326.18;-1;-9.99;-0.99
1970;11;19.708.740;324.01;325.95;-1;-9.99;-0.99
1970;12;19.709.562;325.13;325.93;-1;-9.99;-0.99
1971;1;19.710.411;326.17;326.14;-1;-9.99;-0.99
1971;2;19.711.260;326.68;326.03;-1;-9.99;-0.99
1971;3;19.712.027;327.17;325.85;-1;-9.99;-0.99
1971;4;19.712.877;327.79;325.38;-1;-9.99;-0.99
1971;5;19.713.699;328.93;326.00;-1;-9.99;-0.99
1971;6;19.714.548;328.57;326.36;-1;-9.99;-0.99
1971;7;19.715.370;327.36;326.65;-1;-9.99;-0.99
1971;8;19.716.219;325.43;326.74;-1;-9.99;-0.99
1971;9;19.717.068;323.36;326.37;-1;-9.99;-0.99
1971;10;19.717.890;323.56;326.69;-1;-9.99;-0.99
1971;11;19.718.740;324.80;326.75;-1;-9.99;-0.99
1971;12;19.719.562;326.01;326.82;-1;-9.99;-0.99
1972;1;19.720.410;326.77;326.73;-1;-9.99;-0.99
1972;2;19.721.257;327.63;326.98;-1;-9.99;-0.99
1972;3;19.722.049;327.75;326.39;-1;-9.99;-0.99
1972;4;19.722.896;329.72;327.29;-1;-9.99;-0.99
1972;5;19.723.716;330.07;327.14;-1;-9.99;-0.99
1972;6;19.724.563;329.09;326.88;-1;-9.99;-0.99
1972;7;19.725.383;328.04;327.36;-1;-9.99;-0.99
1972;8;19.726.230;326.32;327.67;-1;-9.99;-0.99
1972;9;19.727.077;324.84;327.87;-1;-9.99;-0.99
1972;10;19.727.896;325.20;328.33;-1;-9.99;-0.99
1972;11;19.728.743;326.50;328.45;-1;-9.99;-0.99
1972;12;19.729.563;327.55;328.36;-1;-9.99;-0.99
1973;1;19.730.411;328.55;328.51;-1;-9.99;-0.99
1973;2;19.731.260;329.56;328.91;-1;-9.99;-0.99
1973;3;19.732.027;330.30;328.96;-1;-9.99;-0.99
1973;4;19.732.877;331.50;329.08;-1;-9.99;-0.99
